관리번호,자치구,와이파이명,도로명주소,상세주소,설치위치(층),설치유형,설치기관,서비스구분,망종류,설치년도,실내외구분,wifi접속환경,X좌표,Y좌표,작업일자,,
GS010044,강서구,염창동,염창동 244-38,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.87007,37.552807,57:52.0,,
GS010045,강서구,염창동,염창동 306-2,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.87275,37.551483,57:52.0,,
GS010046,강서구,염창동,염창동 299,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.87429,37.552124,57:52.0,,
GS010047,강서구,염창동,염창동 113-14 동산어린이집,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.86649,37.55298,57:52.0,,
GS010048,강서구,염창동,염창동 252-20,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.875175,37.550232,57:52.0,,
GS010049,강서구,염창동,양천로 721,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.87588,37.549435,57:52.0,,
GS010050,강서구,염창동,염창동 255(무학아파트),,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.87722,37.55135,57:52.0,,
GS010051,강서구,염창동,염창동 264-18,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.87321,37.549545,57:52.0,,
GS010052,강서구,염창동,염창동 279-12,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.87159,37.549004,57:52.0,,
GS010054,강서구,염창동,염창동 266-14,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.87092,37.55047,57:52.0,,
GS010055,강서구,염창동,염창동 276-9,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.87013,37.549767,57:52.0,,
GS010056,강서구,염창동,염창동 276,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.86868,37.550213,57:52.0,,
GS010057,강서구,염창동,염창동 267-20,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.86798,37.551678,57:52.0,,
GS010058,강서구,염창동,염창동 269,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.868065,37.55228,57:52.0,,
GS010059,강서구,염창동,염창동 271,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.86649,37.55298,57:52.0,,
GS010060,강서구,염창동,등촌동 647-86,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.86559,37.5522,57:52.0,,
GS010061,강서구,염창동,염창동 248-3,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.87138,37.55159,57:52.0,,
GS010062,강서구,염창동,염창동 249-10,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.87227,37.55087,57:52.0,,
GS010063,강서구,염창동,양천로699,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.8734,37.550255,57:52.0,,
GS010064,강서구,염창동,염창동 45-4,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.87187,37.55293,57:52.0,,
GS010065,강서구,염창동,염창동 266-1,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.87002,37.55125,57:52.0,,
GS010066,강서구,염창공원,염창동 산24-1,,,3. 공원(하천),자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.86867,37.55795,57:52.0,,
GS010067,강서구,염창동,염창동 281-3,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.87449,37.54827,57:52.0,,
GS010068,강서구,염창동,염창동 254-2,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.876564,37.55046,57:52.0,,
GS010069,강서구,염창동,양천로 605,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.86565,37.555443,57:52.0,,
GS010070,강서구,염창동,양천로 583,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.8643,37.557163,57:52.0,,
GS010071,강서구,염창동,염창동 275-12(지상3층 방문간호실),,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2020,실내,,126.86832,37.549618,57:52.0,,
GS010072,강서구,염창동,염창동 275-12(지상5층),,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2020,실내,,126.86832,37.549618,57:52.0,,
GS010073,강서구,도로과 창고,가양동 1493(가양빗물펌프장 뒷편),,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2020,실내,,126.86569,37.560055,57:52.0,,
GS010074,강서구,강서평생학습관,염창동 281-25(지상5층),,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2020,실내,,126.87345,37.547325,57:52.0,,
GS010075,강서구,강서평생학습관,염창동 281-25(지상6층),,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2020,실내,,126.87345,37.547325,57:52.0,,
GS010076,강서구,가양도서관,가양동 1493(지상2층),,,4. 문화관광,체육시설,자치구,공공WiFi,자가망U무선망,2020,실내,,126.86569,37.560055,57:52.0,
GS010077,강서구,가양도서관,가양동 1493(지상3층),,,4. 문화관광,체육시설,자치구,공공WiFi,자가망U무선망,2020,실내,,126.86569,37.560055,57:52.0,
GS010078,강서구,염창1 빗물펌프장,염창동 75-7,,,7-3. 커뮤니티 - 지역,자치구,공공WiFi,자가망U무선망,2020,실내,,126.87179,37.556442,57:52.0,,
GS010079,강서구,후정별관,화곡로 302,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2020,실내,,126.84964,37.550938,57:52.0,,
GS020003,강서구,등촌1동,등촌1동 642-1  1층,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2011,실내,,126.86245,37.542885,57:52.0,,
